feature,importance
ewma94,0.031092161312699318
mon_5,0.024641763418912888
park_d,0.01841166242957115
rv10,0.012877034023404121
mon_7,0.01020138431340456
macd21,0.009625504724681377
rv20,0.008973577059805393
ema9,0.007888470776379108
mon_11,0.007342312019318342
slope20,0.006638097111135721
dd60,0.006555563770234585
mon_4,0.006226225756108761
rv5,0.005890673492103815
skew20,0.005457088351249695
kurt20,0.005315326154232025
mon_3,0.004948260262608528
mon_10,0.00475709093734622
dow_6,0.004396004136651754
vov,0.003926004748791456
mon_9,0.0038399111945182085
mon_1,0.003499130718410015
dow_3,0.0030698366463184357
mon_8,0.0029575806111097336
mon_12,0.0027990536764264107
dow_1,0.0026493908371776342
mon_6,0.0026424764655530453
mon_2,0.0024193499702960253
d_rv10,0.002415483584627509
dow_4,0.002316446276381612
dow_0,0.0020236854907125235
dow_2,0.0020005253609269857
dow_5,0.0014898546505719423
